id,Title,link
1,Gazze'de her 10 dakikada 1 çocuk ölüyor,ensonhaber.com/gundem/dsoden-kahreden-aciklama-gazzede-her-10-dakikada-1-cocuk-oluyor
"2,""Kızı dağa kaçırılan anne, HEDEP Genel Merkezi'ni bastı"",ensonhaber.com/gundem/kizi-daga-kacirilan-anne-hedep-genel-merkezini-basti"
3,Fenomenlere büyük darbe! Özlem Öz'den kayyum sonrası ilk açıklama,ensonhaber.com/gundem/fenomenlere-buyuk-darbe-ozlem-ozden-kayyum-sonrasi-ilk-aciklama
4,Emniyet teşkilatına 10 bin polis alınacak! Duyurular İçişleri Bakanlığı'ndan yapılacak,ensonhaber.com/gundem/emniyet-teskilatina-10-bin-polis-alinacak-duyurular-icisleri-bakanligindan-yapilacak
"5,""Irak'ın kuzeyinde 2 PKK'lı terörist SİHA ile etkisiz hale getirildi: Ara, bul, yok et!"",ensonhaber.com/gundem/irakin-kuzeyinde-2-pkkli-terorist-siha-ile-etkisiz-hale-getirildi-ara-bul-yok-et"
6,Sağanak yağmur İstanbul'a can suyu oldu,ensonhaber.com/gundem/istanbul-barajlarinda-son-durum-saganak-yagmur-can-suyu-oldu
7,Cumhurbaşkanı Erdoğan Katar’dan ayrıldı,ensonhaber.com/gundem/cumhurbaskani-erdogan-katardan-ayrildi
8,İsias Oteli iddianamesi kabul edildi,ensonhaber.com/gundem/depremde-72-kisi-enkazinda-can-verdi-isias-oteli-iddianamesi-kabul-edildi
"9,""Lütfi Doğan, İstanbul'da son yolculuğuna uğurlandı"",ensonhaber.com/gundem/eski-diyanet-isleri-baskani-lutfi-dogan-son-yolculuguna-ugurlandi"
10,Kurşun yağmurundan sonra ilk ifade,ensonhaber.com/gundem/is-yerine-kursun-yagmisti-ece-ronay-bakin-neler-soylemis
11,Mısır Çarşısı'nda vatandaşlarla buluştu,ensonhaber.com/gundem/cumhurbaskani-yardimcisi-yilmaz-misir-carsisinda-vatandaslarla-sohbet-etti
12,Ayhan Akman'dan Seçil'e yeni sözler,ensonhaber.com/gundem/secilin-agina-dusen-ayhan-akmandan-yeni-ifade-sikayetciyim
13,İyi Parti'nin seçime tek girme kararına Özgür Özel'den ilk yorum geldi,ensonhaber.com/gundem/iyi-partinin-secime-tek-girme-kararina-ozgur-ozelden-ilk-yorum-geldi
"14,""İsrail, Kemal Advan Hastanesi'ni kuşattı"",ensonhaber.com/gundem/israil-kemal-advan-hastanesini-tank-ve-keskin-nisancilarla-kusatti"
15,Mehmet Özhaseki'den deprem açıklaması: Tek çözümü kentsel dönüşümdür,ensonhaber.com/gundem/mehmet-ozhasekiden-deprem-aciklamasi-tek-cozumu-kentsel-donusumdur
16,İsrail'den Gazze'ye 100 bin top mermisi ateşlendi,ensonhaber.com/gundem/israil-ordusundan-kan-donduran-aciklama-kara-harekati-surecinde-100-bin-top-mermisi-atesle
17,Cumhurbaşkanı Erdoğan'dan 'Filistin Devleti' çıkışı: Garantörlüğe hazırız,ensonhaber.com/gundem/cumhurbaskani-erdogan-netanyahu-tum-bolgemizin-gelecegini-tehlikeye-atiyor
18,Kabine yarın toplanıyor: Önemli başlıklar masada olacak,ensonhaber.com/gundem/kabine-yarin-toplaniyor-onemli-basliklar-masada-olacak
19,Dosta güven düşmana korku! Saros'ta Nusret-2023 Davet Tatbikatı,ensonhaber.com/gundem/dosta-guven-dusmana-korku-sarosta-nusret-2023-davet-tatbikati
20,HEDEP İBB için aday arıyor: Başak Demirtaş'ın ismi öne çıkıyor,ensonhaber.com/gundem/hedep-ibb-icin-aday-ariyor-basak-demirtasin-ismi-one-cikiyor
21,Bursa'da nafakayı ödemeyi unuttuğu için gözaltına alınan yaşlı adam salıverildi,ensonhaber.com/gundem/bursada-nafaka-krizi-odemeyi-unutan-yasli-adam-aglayarak-cezaevine-girdi
22,WhatsApp'ın birkaç ay önce Android kullanıcılarına sunduğu HD kalitede fotoğraf ve video gönderme özelliği şimdi de iPhone'lara geldi.
