id,Title
1,'Ermenistan ile Azerbaycan ilişkilerine umutla bakıyorum'
2,Murat Bardakçı'dan İlber Ortaylı ve Celal Şengör'ün Filistin sözlerine tepki
3,'Kötülüğe karşı durarak duruş sergilememiz lazım'
4,Ali Babacan’ın annesi son yolculuğuna uğurlandı
5,Bulgar sınırında beyan edilmeyen 15 milyon euro ele geçirildi
6,Türkiye ve Yunanistan arasında yeni dönem
7,TBMM'de bütçe maratonu yarın başlıyor
8,"ABD'den İsrail'e 106,5 milyon dolarlık silah satışına onay"
9,İsrail'in acımasızlığı tek videoda: Gazze'ye gelen yardımlar yakıldı
10,Beşiktaş saldırısının üzerinden 7 yıl geçti: 47 şehit unutulmadı...
11,Bakan Uraloğlu: Dünyada yılın en iyi projesi 1915 Çanakkale Köprüsü oldu
12,Gelin altınlarla süslendi! Şanlıurfa'da aşiret düğününde valiz dolusu altın takıldı
13,"8. yargı paketinden detaylar! 105 madde değişiyor: Adli para cezaları, denetimli serbestlik..."
14,Gazze'de bilanço ağırlaşıyor
15,HEDEP'ten CHP'ye veto: Sadece seçim zamanı bizi hatırlıyorlar
16,Vakanüvis yazdı! Nerede o eski köpekler…
17,Gözler 11 Aralık'ta! Asgari ücret görüşmeleri başlıyor: İşte masadaki rakamlar...
18,Teröristlere ait 78 barınma alanı imha edildi
19,Ankara'da Filistin broşürü dağıtan kadına saldırı
20,İsrail'in Gazze'ye saldırılarında can kaybı 18 bine yaklaştı
21,Antalya'da iki mevsim bir arada: Bir tarafta kar diğer tarafta deniz keyfi
