İçerik,Tahmin
cinayeti savundugumuz yok yazilanlari okuyorum erkek suclu oldurdugu icin adami hale getiren kisinin hic mi kabahati yok allah bilir yapti,Olumsuz
ey idareciler idam zaman geri gelecek artik pervasizlik zaman kadar surecek israilden beter degil mi yapilan oluyor,Olumsuz
insan formatini fitratini bozdugunuz zaman kimen zaman yapacagini bilmeniz mumkun olmaz,Olumsuz
kisasta hayat vardir,Olumsuz
avustralya avrupa ulkelerinde nafaka olayi yok anlasmali olaylar var devlet yardimci oluyor islanda nafaka olayi belli sinirsiz nafaka bize mahsus kaldirilacak kadinlardan korkuluyor vay be,Tarafsız
turkiye yuzyili nin devlet tesvikli katilleri es mes dinlemez herkesi bogazlar,Olumsuz
tam bir trajedi kadin cinayetlerine bir cozum bulmali acilen hukumet tur suc isleyenlere sorgusuz sualsiz muhabbet verilmeli oyle seneyle kurtulmamali caniler,Olumsuz
bosandigin zaman artik senin hic bir seyin degildir tek care seriat kisasta hayat vardir buyuruyor yuce allah demokrasi sosyalizm vb insan kanunlari asla huzur vermez,Tarafsız
vefat eden kadin icin demiyorum genel durumu soyluyorum bosandiktan sonra hicbir seyin degilse nafaka almayacak erkek sadece cocuklarina bakmakla yukumlu olacak hicbir seyi olmayan kadina nafaka odeyip kadinin sevgilisiyle gonul eglendirmesinin masrafini odemeyecek vefat eden kadin icin demedim genel duruma dedim,Tarafsız
nafaka oduyor sa kadina pozitif ayrimcilik yasalari geregi hukuken haksizliga ugradiysa genelde oyle oluyor bosanmis sayilmazlar ben azmettirici olarak feminist tabanlari kanunlari goruyorum,Olumsuz
kurban bayrami nda hayvan kesilmesini elestiren aydin kesimin ilcesinde insan kesiliyor tuhaf,Olumsuz
cankaya medeni aydin insanlarin yasadigi semt degil mi medeni insan esiyle konusmaya bicakla gider,Olumsuz
alaka yav imrahor deresi dahil ankara merkezin buyuk kismi cankaya sinirlarinda nerdeyse yerinde suc isleniyor cukurambarda rezidanstan atilan masum kizi cahillermi itti,Olumsuz
evlenmeninde bosanmaninda dinimizde kaidesi belli insan oldurmek nedir birsey yaparsa can alamazsin bosarsin artik mahreminde olmaz islamdan insanliktanda cikmissiniz,Olumsuz
idam nokta,Tarafsız
nafaka kavgasidir sonsuz nafaka ygzgnden insanlar bir birine kiyiyor kimin umurunda adalet mulkunde caninda temelidir,Olumsuz
kisasa kisas yapmada toplumun gelecegi icin zaruret var iceri atip beslemeyin,Olumsuz
